更新时间: 2026-04-22 20:54:10（北京时间）

更新时间,#genre#
2026-04-22 20:54:10,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV12,http://220.192.130.71:8002/rtp/225.0.4.129:7980$重庆市联通
CCTV12,http://121.238.250.95:8800/rtp/239.49.8.55:9822$江苏电信
CCTV13,http://27.11.252.52:8002/rtp/225.0.4.219:7980$重庆市联通
CCTV13,http://121.230.144.64:8000/rtp/239.49.8.109:8000$江苏电信
CCTV13,http://223.10.214.111:6000/rtp/239.1.1.20:8020$山西电信
CCTV13,http://183.151.27.188:4022/rtp/233.50.200.97:5140$浙江电信
CCTV13,http://220.192.130.71:8002/rtp/225.0.4.219:7980$重庆市联通
CCTV13,http://121.238.250.95:8800/rtp/239.49.8.109:8000$江苏电信
CCTV14,http://27.11.252.52:8002/rtp/225.0.4.128:7980$重庆市联通
CCTV14,http://121.230.144.64:8000/rtp/239.49.8.56:9826$江苏电信
CCTV14,http://223.10.214.111:6000/rtp/239.1.1.21:8021$山西电信
CCTV14,http://183.151.27.188:4022/rtp/233.50.200.103:5140$浙江电信
CCTV14,http://220.192.130.71:8002/rtp/225.0.4.128:7980$重庆市联通
CCTV14,http://121.238.250.95:8800/rtp/239.49.8.56:9826$江苏电信
CCTV15,http://27.11.252.52:8002/rtp/225.0.4.220:7980$重庆市联通
CCTV15,http://121.230.144.64:8000/rtp/239.49.0.128:8000$江苏电信
CCTV15,http://223.10.214.111:6000/rtp/239.1.1.22:8022$山西电信
CCTV15,http://183.151.27.188:4022/rtp/233.50.200.133:5140$浙江电信
CCTV15,http://220.192.130.71:8002/rtp/225.0.4.220:7980$重庆市联通
CCTV15,http://121.238.250.95:8800/rtp/239.49.0.128:8000$江苏电信
CCTV16,http://121.230.144.64:8000/rtp/239.49.8.31:8000$江苏电信
CCTV16,http://223.10.214.111:6000/rtp/239.1.1.122:8122$山西电信
CCTV16,http://183.151.27.188:4022/rtp/233.50.201.192:5140$浙江电信
CCTV16,http://121.238.250.95:8800/rtp/239.49.8.31:8000$江苏电信
CCTV17,http://27.11.252.52:8002/rtp/225.0.4.179:7980$重庆市联通
CCTV17,http://121.230.144.64:8000/rtp/239.49.8.52:9810$江苏电信
CCTV17,http://223.10.214.111:6000/rtp/239.1.1.23:8023$山西电信
CCTV17,http://183.151.27.188:4022/rtp/233.50.200.113:5140$浙江电信
CCTV17,http://220.192.130.71:8002/rtp/225.0.4.179:7980$重庆市联通
CCTV17,http://121.238.250.95:8800/rtp/239.49.8.52:9810$江苏电信
CCTV4K,http://121.230.144.64:8000/rtp/239.49.0.82:8000$江苏电信
CCTV4K,http://183.151.27.188:4022/rtp/233.50.201.226:5140$浙江电信
CCTV4K,http://121.238.250.95:8800/rtp/239.49.0.82:8000$江苏电信
兵器科技,http://223.10.214.111:6000/rtp/239.1.1.97:8097$山西电信
风云音乐,http://223.10.214.111:6000/rtp/239.1.1.96:8096$山西电信
风云足球,http://223.10.214.111:6000/rtp/239.1.1.101:8101$山西电信
风云剧场,http://223.10.214.111:6000/rtp/239.1.1.93:8093$山西电信
怀旧剧场,http://223.10.214.111:6000/rtp/239.1.1.95:8095$山西电信
第一剧场,http://223.10.214.111:6000/rtp/239.1.1.94:8094$山西电信
女性时尚,http://223.10.214.111:6000/rtp/239.1.1.89:8089$山西电信
世界地理,http://223.10.214.111:6000/rtp/239.1.1.99:8099$山西电信
央视台球,http://223.10.214.111:6000/rtp/239.1.1.100:8100$山西电信
高尔夫网球,http://223.10.214.111:6000/rtp/239.1.1.102:8102$山西电信
央视文化精品,http://223.10.214.111:6000/rtp/239.1.1.91:8091$山西电信

卫视频道,#genre#
湖南卫视,http://27.11.252.52:8002/rtp/225.0.4.107:7980$重庆市联通
湖南卫视,http://27.11.252.52:8002/rtp/225.0.4.75:7980$重庆市联通
湖南卫视,http://121.230.144.64:8000/rtp/239.49.8.12:9418$江苏电信
湖南卫视,http://223.10.214.111:6000/rtp/239.1.1.28:8028$山西电信
湖南卫视,http://183.151.27.188:4022/rtp/233.50.201.103:5140$浙江电信
湖南卫视,http://183.151.27.188:4022/rtp/233.50.200.190:5140$浙江电信
湖南卫视,http://183.151.27.188:4022/rtp/233.50.202.106:5140$浙江电信
湖南卫视,http://220.192.130.71:8002/rtp/225.0.4.107:7980$重庆市联通
湖南卫视,http://220.192.130.71:8002/rtp/225.0.4.75:7980$重庆市联通
湖南卫视,http://121.238.250.95:8800/rtp/239.49.8.12:9418$江苏电信
浙江卫视,http://27.11.252.52:8002/rtp/225.0.4.105:7980$重庆市联通
浙江卫视,http://27.11.252.52:8002/rtp/225.0.4.81:7980$重庆市联通
浙江卫视,http://121.230.144.64:8000/rtp/239.49.8.20:9618$江苏电信
